Time,Ampl
995215,2.72067
995216,3.79552
995217,3.34093
995218,3.32236
995219,3.32204
995220,3.32178
995221,3.32146
995222,3.32155
995223,3.32131
995224,3.32051
995225,3.32061
995226,3.36768
995227,3.3671
995228,3.3671
995229,3.36704
995230,3.36626
995231,3.36646
995232,3.36647
995233,3.36625
995234,3.36924
995235,3.41249
995236,3.41211
995237,3.4121
995238,3.41135
995239,3.41109
995240,3.41049
995241,3.41135
995242,3.41082
995243,3.42754
995244,3.45707
995245,3.45719
995246,3.45738
995247,3.45675
995248,3.45638
995249,3.45618
995250,3.4553
995251,3.45515
995252,3.49599
995253,3.50287
995254,3.502
995255,3.50205
995256,3.50186
995257,3.5012
995258,3.50086
995259,3.5007
995260,3.50713
995261,3.54706
995262,3.54679
995263,3.54643
995264,3.54699
995265,3.54641
995266,3.54585
995267,3.54548
995268,3.54563
995269,3.59221
995270,3.59169
995271,3.5916
995272,3.59114
995273,3.59159
995274,3.59101
995275,3.59102
995276,3.59071
995277,3.61129
995278,3.63765
995279,3.63731
995280,3.63639
995281,3.63667
995282,3.63636
995283,3.63605
995284,3.63539
995285,3.68119
995286,3.68089
995287,3.68047
995288,3.68032
995289,3.68002
995290,3.67962
995291,3.68027
995292,3.69115
995293,3.72573
995294,3.72532
995295,3.72567
995296,3.72533
995297,3.72486
995298,3.72392
995299,3.72376
995300,3.72379
995301,3.73212
995302,3.77037
995303,3.77047
995304,3.7696
995305,3.77001
995306,3.76975
995307,3.76957
995308,3.76916
995309,3.76867
995310,3.81514
995311,3.81445
995312,3.8138
995313,3.81372
995314,3.81322
995315,3.8126
995316,3.8127
995317,3.81236
995318,3.83541
995319,3.859
995320,3.85897
995321,3.85829
995322,3.85759
995323,3.85696
995324,3.85718
995325,3.85644
995326,3.86966
995327,3.90223
995328,3.90229
995329,3.90193
995330,3.90244
995331,3.90113
995332,3.90092
995333,3.89993
995334,3.89989
995335,3.93102
995336,3.94584
995337,3.94535
995338,3.94605
995339,3.94558
995340,3.94487
995341,3.94462
995342,3.94421
995343,3.94447
995344,3.98636
995345,3.99061
995346,3.99019
995347,3.98954
995348,3.98869
995349,3.98864
995350,3.98845
995351,3.98829
995352,3.98785
995353,2.40944
995354,3.28689
995355,3.2859
995356,3.28569
995357,3.28572
995358,3.28543
995359,3.28532
995360,3.28498
995361,3.28944
995362,3.3306
995363,3.33083
995364,3.33012
995365,3.33028
995366,3.33017
995367,3.33003
995368,3.32931
995369,3.32894
995370,3.37267
995371,3.3753
995372,3.37535
995373,3.37509
995374,3.37481
995375,3.37419
995376,3.37468
995377,3.37457
995378,3.40111
995379,3.42012
995380,3.42061
995381,3.42003
995382,3.41974
995383,3.42013
995384,3.41955
995385,3.41931
995386,3.42724
995387,3.46514
995388,3.46456
995389,3.46473
995390,3.46377
995391,3.46355
995392,3.46347
995393,3.46369
995394,3.46314
995395,3.4807
995396,3.50999
995397,3.50911
995398,3.50896
995399,3.50864
995400,3.50874
995401,3.50858
995402,3.50848
995403,3.50812
995404,3.53881
995405,3.55433
995406,3.55379
995407,3.55321
995408,3.55287
995409,3.55335
995410,3.55249
995411,3.55207
995412,3.55261
995413,3.58715
995414,3.59825
995415,3.59846
995416,3.59813
995417,3.59715
995418,3.59802
995419,3.59764
995420,3.59711
995421,3.636
995422,3.64285
995423,3.64236
995424,3.64218
995425,3.6412
995426,3.64104
995427,3.6413
995428,3.64113
995429,3.64075
995430,3.68709
995431,3.68639
995432,3.68668
995433,3.68695
995434,3.68603
995435,3.6863
995436,3.68605
995437,3.68602
995438,3.68601
995439,3.73158
995440,3.73097
995441,3.73035
995442,3.73029
995443,3.73068
995444,3.73044
995445,3.72961
995446,3.72906
995447,3.73342
995448,3.77494
995449,3.77485
995450,3.77366
995451,3.77337
995452,3.7728
995453,3.77289
995454,3.77267
995455,3.7725
995456,3.78313
995457,3.81755
995458,3.81696
995459,3.81727
995460,3.81703
995461,3.81667
995462,3.81635
995463,3.81588
995464,3.81616
995465,3.84696
995466,3.8613
995467,3.86128
995468,3.86121
995469,3.86083
995470,3.86067
995471,3.8604
995472,3.86029
995473,3.85961
995474,3.89729
995475,3.90522
995476,3.90499
995477,3.90447
995478,3.90421
995479,3.90393
995480,3.90353
995481,3.90291
995482,3.90258
995483,3.94675
995484,3.94815
995485,3.9474
995486,3.94798
995487,3.94685
995488,3.94664
995489,3.9462
995490,3.94578
995491,3.94567
995492,2.31561
995493,3.25299
995494,3.25247
995495,3.25192
995496,3.25119
995497,3.25172
