Time,Ampl
996551,0.966863
996552,0.381752
996553,0.39443
996554,0.394896
996555,0.394613
996556,0.394489
996557,0.394302
996558,0.394615
996559,0.432298
996560,0.459078
996561,0.458347
996562,0.45827
996563,0.458347
996564,0.45827
996565,0.458199
996566,0.458956
996567,0.523537
996568,0.522899
996569,0.5226
996570,0.522969
996571,0.522963
996572,0.522915
996573,0.588537
996574,0.587557
996575,0.587346
996576,0.58764
996577,0.587268
996578,0.587685
996579,0.587599
996580,0.641441
996581,0.65227
996582,0.651863
996583,0.652277
996584,0.652398
996585,0.652166
996586,0.652264
996587,0.622828
996588,0.719123
996589,0.717634
996590,0.717236
996591,0.717819
996592,0.717662
996593,0.717742
996594,0.717555
996595,0.773784
996596,0.782652
996597,0.78288
996598,0.783002
996599,0.782605
996600,0.78299
996601,0.782807
996602,0.80359
996603,0.847951
996604,0.847845
996605,0.848107
996606,0.84811
996607,0.848242
996608,0.848199
996609,0.858733
996610,0.913465
996611,0.913219
996612,0.913844
996613,0.913329
996614,0.913406
996615,0.913682
996616,0.913531
996617,0.977697
996618,0.978704
996619,0.978673
996620,0.978699
996621,0.978885
996622,0.978553
996623,0.978716
996624,0.786219
996625,0.164145
996626,0.168653
996627,0.169108
996628,0.169482
996629,0.169375
996630,0.169613
996631,0.169517
996632,0.169411
996633,0.169242
996634,0.169191
996635,0.169187
996636,0.169395
996637,0.169429
996638,0.16914
996639,0.203272
996640,0.419576
996641,0.484446
996642,0.485118
996643,0.48505
996644,0.485323
996645,0.484881
996646,0.484678
996647,0.484992
996648,0.500916
996649,0.565008
996650,0.565472
996651,0.565299
996652,0.565256
996653,0.565353
996654,0.565357
996655,0.565422
996656,0.571489
996657,0.645772
996658,0.646026
996659,0.645983
996660,0.645724
996661,0.645882
996662,0.645879
996663,0.645323
996664,0.64592
996665,0.722966
996666,0.726251
996667,0.726611
996668,0.726363
996669,0.726025
996670,0.726099
996671,0.726077
996672,0.726056
996673,0.771462
996674,0.806817
996675,0.80719
996676,0.806881
996677,0.806877
996678,0.807016
996679,0.806992
996680,0.807109
996681,0.771985
996682,0.887949
996683,0.888226
996684,0.888251
996685,0.888072
996686,0.888309
996687,0.888261
996688,0.888133
996689,0.88949
996690,0.968947
996691,0.969128
996692,0.969133
996693,0.968818
996694,0.9693
996695,0.968744
996696,0.968772
996697,0.96902
996698,1.0355
996699,1.04975
996700,1.04995
996701,1.04973
996702,1.0498
996703,1.05008
996704,1.04996
996705,1.05008
996706,1.08279
996707,1.13082
996708,1.1313
996709,1.13103
996710,1.1312
996711,1.13145
996712,1.13153
996713,1.13128
996714,1.15153
996715,1.21252
996716,1.21277
996717,1.21285
996718,1.21302
996719,1.21296
996720,1.21284
