Frequency (Hz),Amplitude (mV)
20,110
30,130
40,185
50,250
60,285
70,365
80,455
90,520
100,560
110,620
120,720
130,760
140,820
150,700
160,720
170,785
180,795
190,880
200,920
210,940
220,970
230,1000
240,1025
250,1060
260,1090
270,1100
280,1130
290,1155
300,1170
310,1200
320,1215
330,1240
340,1260
350,1280
360,1300
370,1325
380,1345
390,1360
400,1380
410,1395
420,1415
430,1435
440,1455
450,1475
460,1495
470,1510
480,1530
490,1545
500,1560
520,1565
540,1565
560,1565
580,1565
600,1565
620,1565
640,1560
660,1550
680,1540
700,1530
720,1525
740,1515
760,1505
780,1500
800,1500
820,1490
840,1485
860,1485
880,1485
900,1485
920,1495
940,1525
960,1605
980,1470
1000,1375
1020,1425
1040,1480
1060,1680
1080,1300
1100,800
1120,635
1140,610
1160,670
1180,815
1200,785
1220,735
1240,810
1260,750
1280,655
1300,645
1320,905
1340,1415
1380,1200
1400,1125
1420,1095
1440,1050
1460,1000
1480,945
1500,885
1520,835
1540,775
1560,705
1580,595
1600,915
1620,865
1640,725
1660,645
1680,585
1700,525
1720,460
1740,385
1760,310
1780,380
1800,800
1820,810
1840,695
1860,590
1880,495
1900,420
1920,350
1940,290
1960,235
1980,180
2000,150
