a,frequency,g
0,20,0.4472135954999579
1,30,0.6703552306875556
2,40,0.8933671843019262
3,50,1.1162827571785714
4,60,1.3391215538783103
5,70,1.5618965237470488
6,80,1.7888543819998317
7,90,1.8973665961010275
8,100,2.0
9,110,2.0976176963403033
10,120,2.1908902300206643
11,130,2.280350850198276
12,140,2.3664319132398464
13,150,2.449489742783178
14,160,2.5298221281347035
15,170,2.6076809620810595
16,180,2.6832815729997477
17,190,2.7568097504180447
18,200,2.8284271247461903
19,210,2.898275349237888
20,220,2.9664793948382653
21,230,3.0331501776206204
22,240,3.0983866769659336
23,250,3.1622776601683795
24,260,3.22490309931942
25,270,3.286335345030997
26,280,3.3466401061363023
27,290,3.40587727318528
28,300,3.4641016151377544
29,310,3.521363372331802
30,320,3.5777087639996634
31,330,3.6331804249169903
32,340,3.687817782917155
33,350,3.7416573867739413
34,360,3.794733192202055
35,370,3.847076812334269
36,380,3.898717737923586
37,390,3.9496835316262997
38,400,4.0
39,410,4.049691346263317
40,420,4.09878030638384
41,430,4.147288270665544
42,440,4.1952353926806065
43,450,4.242640687119285
44,460,4.2895221179054435
45,470,4.33589667773576
46,480,4.381780460041329
47,490,4.427188724235731
48,500,4.47213595499958
49,510,4.472287464824567
50,520,4.472436037508888
51,530,4.472581784860078
52,540,4.472724812418815
53,550,4.472865219918751
54,560,4.473003101704916
55,570,4.4731385471151155
56,580,4.473271640828158
57,590,4.473402463182326
58,600,4.473531090467092
59,610,4.473657595190732
60,620,4.4737820463261775
61,630,4.473904509537214
62,640,4.474025047386865
63,650,4.47414371952963
64,660,4.474260582889042
65,670,4.4743756918218915
66,680,4.474489098270276
67,690,4.474600851902562
68,700,4.4747110002442
69,710,4.474819588799274
70,720,4.474926661163542
71,730,4.475032259129689
72,740,4.475136422785426
73,750,4.475239190604992
74,760,4.475340599534617
75,770,4.475440685072377
76,780,4.475539481342928
77,790,4.47563702116745
78,800,4.475733336129219
79,810,4.475828456635087
80,820,4.47592241197321
81,830,4.476015230367257
82,840,4.476106939027397
83,850,4.476197564198249
84,860,4.476287131204044
85,870,4.476375664491166
86,880,4.476463187668271
87,890,4.476549723544135
88,900,4.476635294163391
89,910,4.476719920840291
90,920,4.47680362419062
91,930,4.476886424161894
92,940,4.476968340061937
93,950,4.477049390585942
94,960,4.477129593842132
95,970,4.477208967376072
96,980,4.477287528193748
97,990,4.477365292783471
98,1000,4.477442277136679
99,1010,4.477518496767706
100,1020,4.477593966732575
101,1030,4.477668701646879
102,1040,4.477742715702798
103,1050,4.477816022685293
104,1060,4.477888635987549
105,1070,4.477960568625674
106,1080,4.478031833252733
107,1090,4.478102442172122
108,1100,4.478172407350337
109,1110,4.478241740429167
110,1120,4.478310452737337
111,1130,4.4783785553016315
112,1140,4.478446058857538
113,1150,4.478512973859416
114,1160,4.478579310490225
115,1170,4.478645078670848
116,1180,4.478710288069001
117,1190,4.478774948107785
118,1200,4.478839067973861
119,1210,4.478902656625302
120,1220,4.478965722799113
121,1230,4.479028275018445
122,1240,4.479090321599526
123,1250,4.479151870658297
124,1260,4.4792129301168
125,1270,4.479273507709303
126,1280,4.479333610988191
127,1290,4.4793932473296225
128,1300,4.479452423938977
129,1310,4.479511147856078
130,1320,4.4795694259602366
131,1330,4.479627264975086
132,1340,4.479684671473253
133,1350,4.4797416518808415
134,1360,4.479798212481757
135,1370,4.479854359421874
136,1380,4.479910098713047
137,1390,4.479965436236982
138,1400,4.480020377748964
139,1410,4.48007492888146
140,1420,4.480129095147584
141,1430,4.4801828819444465
142,1440,4.480236294556391
143,1450,4.480289338158111
144,1460,4.480342017817662
145,1470,4.4803943384993765
146,1480,4.48044630506667
147,1490,4.480497922284764
148,1500,4.480549194823308
149,1510,4.480600127258918
150,1520,4.480650724077638
151,1530,4.480700989677307
152,1540,4.480750928369862
153,1550,4.480800544383558
154,1560,4.480849841865122
155,1570,4.480898824881833
156,1580,4.480947497423543
157,1590,4.480995863404626
158,1600,4.481043926665874
159,1610,4.481091690976326
160,1620,4.481139160035048
161,1630,4.481186337472853
162,1640,4.48123322685397
163,1650,4.4812798316776625
164,1660,4.481326155379799
165,1670,4.481372201334374
166,1680,4.481417972854987
167,1690,4.481463473196274
168,1700,4.481508705555297
169,1710,4.481553673072897
170,1720,4.481598378835004
171,1730,4.481642825873909
172,1740,4.4816870171695005
173,1750,4.481730955650465
174,1760,4.481774644195455
175,1770,4.4818180856342185
176,1780,4.481861282748706
177,1790,4.481904238274137
178,1800,4.481946954900044
179,1810,4.48198943527128
180,1820,4.482031681989009
181,1830,4.482073697611658
182,1840,4.48211548465585
183,1850,4.482157045597311
184,1860,4.482198382871749
185,1870,4.482239498875717
186,1880,4.4822803959674395
187,1890,4.482321076467634
188,1900,4.482361542660299
189,1910,4.482401796793482
190,1920,4.482441841080035
191,1930,4.48248167769834
192,1940,4.482521308793029
193,1950,4.482560736475671
194,1960,4.482599962825449
195,1970,4.482638989889823
196,1980,4.4826778196851675
197,1990,4.482716454197402
198,2000,4.482754895382597
