a,Frequency (Hz),g,Amplitude (mV)
29,310,3.521363372331802,740
30,320,3.5777087639996634,770
31,330,3.6331804249169903,790
32,340,3.687817782917155,810
33,350,3.7416573867739418,820
34,360,3.794733192202055,840
35,370,3.847076812334269,860
36,380,3.898717737923586,870
37,390,3.9496835316263,890
38,400,4.0,910
39,410,4.049691346263317,920
40,420,4.09878030638384,940
41,430,4.147288270665544,960
42,440,4.1952353926806065,980
43,450,4.242640687119285,1000
44,460,4.2895221179054435,1020
45,470,4.33589667773576,1030
46,480,4.381780460041329,1050
47,490,4.427188724235731,1060
48,500,4.47213595499958,1070
50,520,4.472436037508888,1090
52,540,4.472724812418815,1090
54,560,4.473003101704916,1100
56,580,4.473271640828158,1100
58,600,4.473531090467092,1110
